timestamp,sprint,model,param_sprint,param_params,f1_cv_mean,auc_cv_mean,recall_cv_mean,precision_cv_mean,accuracy_cv_mean,train_f1_mean,notes,method,best_score,time_seconds,path,params
2026-04-24 14:56:42,3,Logistic Regression,3.0,default,0.935,0.9839,0.9449,0.9255,0.9344,0.937,"Baseline Sprint 3, parámetros por defecto. Overfit gap: 0.002",,,,,
2026-04-24 14:56:42,3,Decision Tree,3.0,default,0.9153,0.9194,0.9135,0.9173,0.9155,0.9929,"Baseline Sprint 3, parámetros por defecto. Overfit gap: 0.078",,,,,
2026-04-24 14:56:42,3,Random Forest,3.0,default,0.9419,0.9861,0.9507,0.9334,0.9414,0.993,"Baseline Sprint 3, parámetros por defecto. Overfit gap: 0.051",,,,,
2026-04-24 14:56:42,3,Gradient Boosting,3.0,default,0.9417,0.9881,0.9503,0.9334,0.9412,0.9522,"Baseline Sprint 3, parámetros por defecto. Overfit gap: 0.011",,,,,
2026-04-24 14:56:42,3,SVM,3.0,default,0.9422,0.9843,0.9553,0.9295,0.9414,0.9549,"Baseline Sprint 3, parámetros por defecto. Overfit gap: 0.013",,,,,
2026-04-24 14:56:42,3,KNN,3.0,default,0.9298,0.9777,0.9255,0.9344,0.9302,0.9564,"Baseline Sprint 3, parámetros por defecto. Overfit gap: 0.027",,,,,
2026-04-24 14:56:42,3,Naive Bayes,3.0,default,0.574,0.9556,0.4029,0.999,0.7012,0.5732,"Baseline Sprint 3, parámetros por defecto. Overfit gap: -0.001",,,,,
,4,random_forest,,,,,,,,,,GridSearchCV,0.9442,3.4,models/tuned_random_forest.pkl,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 267}"
,4,gradient_boosting,,,,,,,,,,GridSearchCV,0.9468,5.6,models/tuned_gradient_boosting.pkl,"{'clf__learning_rate': np.float64(0.041), 'clf__max_depth': 6, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 14, 'clf__n_estimators': 430, 'clf__subsample': np.float64(0.73)}"
,4,logistic_regression,,,,,,,,,,GridSearchCV,0.9374,7.9,models/tuned_logistic_regression.pkl,"{'clf__C': 10.0, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
