item,value
kpi_economico_principal,ahorro_neto_esperado
kpi_tecnico_soporte,recall_phishing
umbral_referencia,0.5
umbral_recomendado,0.09
recall_minimo,0.99
fn_referencia,30
fp_referencia,29
recall_referencia,0.950331
costo_sin_modelo_referencia_usd,302000.0
costo_con_modelo_referencia_usd,17516.0
ahorro_neto_referencia_usd,284484.0
roi_referencia,158.840871
valor_por_1000_urls_referencia_usd,243148.72
ahorro_neto_anual_referencia_usd,24314871.79
fn_recomendado,3
fp_recomendado,90
recall_recomendado,0.995033
costo_sin_modelo_recomendado_usd,302000.0
costo_con_modelo_recomendado_usd,5717.0
ahorro_neto_recomendado_usd,296283.0
roi_recomendado,150.626843
valor_por_1000_urls_recomendado_usd,253233.33
ahorro_neto_anual_recomendado_usd,25323333.33
ahorro_incremental_vs_050_usd,11799.0
ahorro_incremental_anual_vs_050_usd,1008461.54
annual_value_reference_usd,24314871.79
annual_value_optimal_usd,25323333.33
