threshold,tn,fp,fn,tp,total_urls,phishing_real,alerts,recall,precision,false_positive_rate,cost_without_model,cost_with_model,review_cost,operational_cost,operational_cost_total,net_savings,roi,value_per_1000_urls,annual_cost_without_model,annual_cost_with_model,annual_net_savings,value_test,value_per_case,annual_value
0.05,455,111,3,601,1170,604,712,0.995033,0.844101,0.196113,302000.0,6284.0,1424.0,585.0,2009.0,295716.0,147.19562,252748.72,25811965.81,537094.02,25274871.79,295716.0,252.7487,25274871.79
0.06,459,107,3,601,1170,604,708,0.995033,0.84887,0.189046,302000.0,6176.0,1416.0,585.0,2001.0,295824.0,147.838081,252841.03,25811965.81,527863.25,25284102.56,295824.0,252.841,25284102.56
0.07,466,100,3,601,1170,604,701,0.995033,0.857347,0.176678,302000.0,5987.0,1402.0,585.0,1987.0,296013.0,148.974836,253002.56,25811965.81,511709.4,25300256.41,296013.0,253.0026,25300256.41
0.08,470,96,3,601,1170,604,697,0.995033,0.862267,0.169611,302000.0,5879.0,1394.0,585.0,1979.0,296121.0,149.631632,253094.87,25811965.81,502478.63,25309487.18,296121.0,253.0949,25309487.18
0.09,476,90,3,601,1170,604,691,0.995033,0.869754,0.159011,302000.0,5717.0,1382.0,585.0,1967.0,296283.0,150.626843,253233.33,25811965.81,488632.48,25323333.33,296283.0,253.2333,25323333.33
0.1,479,87,4,600,1170,604,687,0.993377,0.873362,0.15371,302000.0,6134.0,1374.0,585.0,1959.0,295866.0,151.029096,252876.92,25811965.81,524273.5,25287692.31,295866.0,252.8769,25287692.31
0.11,482,84,4,600,1170,604,684,0.993377,0.877193,0.14841,302000.0,6053.0,1368.0,585.0,1953.0,295947.0,151.534562,252946.15,25811965.81,517350.43,25294615.38,295947.0,252.9462,25294615.38
0.12,485,81,4,600,1170,604,681,0.993377,0.881057,0.14311,302000.0,5972.0,1362.0,585.0,1947.0,296028.0,152.043143,253015.38,25811965.81,510427.35,25301538.46,296028.0,253.0154,25301538.46
0.13,488,78,6,598,1170,604,676,0.990066,0.884615,0.137809,302000.0,6887.0,1352.0,585.0,1937.0,295113.0,152.355705,252233.33,25811965.81,588632.48,25223333.33,295113.0,252.2333,25223333.33
0.14,490,76,7,597,1170,604,673,0.988411,0.887073,0.134276,302000.0,7331.0,1346.0,585.0,1931.0,294669.0,152.599171,251853.85,25811965.81,626581.2,25185384.62,294669.0,251.8538,25185384.62
0.15,494,72,7,597,1170,604,669,0.988411,0.892377,0.127208,302000.0,7223.0,1338.0,585.0,1923.0,294777.0,153.290172,251946.15,25811965.81,617350.43,25194615.38,294777.0,251.9462,25194615.38
0.16,495,71,8,596,1170,604,667,0.986755,0.893553,0.125442,302000.0,7694.0,1334.0,585.0,1919.0,294306.0,153.364252,251543.59,25811965.81,657606.84,25154358.97,294306.0,251.5436,25154358.97
0.17,497,69,9,595,1170,604,664,0.985099,0.896084,0.121908,302000.0,8138.0,1328.0,585.0,1913.0,293862.0,153.613173,251164.1,25811965.81,695555.56,25116410.26,293862.0,251.1641,25116410.26
0.18,498,68,11,593,1170,604,661,0.981788,0.897126,0.120141,302000.0,9107.0,1322.0,585.0,1907.0,292893.0,153.588359,250335.9,25811965.81,778376.07,25033589.74,292893.0,250.3359,25033589.74
0.19,501,65,11,593,1170,604,658,0.981788,0.901216,0.114841,302000.0,9026.0,1316.0,585.0,1901.0,292974.0,154.115729,250405.13,25811965.81,771452.99,25040512.82,292974.0,250.4051,25040512.82
0.2,502,64,13,591,1170,604,655,0.978477,0.90229,0.113074,302000.0,9995.0,1310.0,585.0,1895.0,292005.0,154.092348,249576.92,25811965.81,854273.5,24957692.31,292005.0,249.5769,24957692.31
